FETION_FLAG,MOBMAIL_FLAG,MOBNEWS_FLAG,TIMENEWS_FLAG,CR_FLAG,WIRELESS_ADV_USR_FLAG,WIRELESS_MUS_FLAG,CR_BOX_FLAG,PIM_FLAG,SMSRTN_FLAG,HOTEL_PREORD_CALL_FLAG,AER_PREORD_FLAG,MO_CALL_12580_FLAG,MOBPAY_FLAG,MOBDOWN_FLAG,mms_flag,gprs_flag,quanqu_down_flag,khbm
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11685
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11690
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,11692
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11693
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11716
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11724
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11725
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11734
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11735
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11742
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11751
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11757
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11769
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11775
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11786
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11795
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11797
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11828
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11838
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11843
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11844
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11848
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11857
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11865
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11867
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11869
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11882
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,11940
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11945
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11976
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,11982
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11990
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11992
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11993
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12008
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12052
